ID,Ethnicity,Date of Birth,Account Type,Joining date
863243,Other,12/30/2007,Platinum,2023-01-01
893948,White,9/1/2013,Gold,2023-01-01
627428,White,11/5/2018,Platinum,2023-01-02
598787,Other,9/11/1962,Basic,2023-01-02
248371,Asian,12/30/1979,Gold,2023-01-03
166090,Black,2/4/2016,Platinum,2023-01-04
248692,Black,3/10/1949,Basic,2023-01-05
433632,White,9/27/1992,Platinum,2023-01-05
522270,Black,11/21/1940,Basic,2023-01-05
549243,Black,6/7/1947,Gold,2023-01-05
560790,Other,5/25/2006,Basic,2023-01-06
637797,Asian,9/11/1956,Platinum,2023-01-06
489429,Black,11/16/2007,Platinum,2023-01-07
858519,White,1/27/2000,Gold,2023-01-07
647719,Black,7/20/2000,Gold,2023-01-08
115026,Asian,2/26/1993,Basic,2023-01-08
319351,Black,8/11/1961,Gold,2023-01-09
569494,Black,8/30/1976,Gold,2023-01-09
119971,Asian,5/21/1963,Basic,2023-01-10
125311,Black,5/1/2008,Basic,2023-01-10
540772,Black,5/15/1957,Gold,2023-01-10
221238,Other,12/28/1940,Platinum,2023-01-11
381269,Black,7/15/1983,Gold,2023-01-11
312962,White,7/12/1978,Gold,2023-01-11
587714,White,10/2/1952,Gold,2023-01-12
441581,White,7/6/2018,Gold,2023-01-12
683051,Black,7/8/1957,Basic,2023-01-13
731003,White,9/16/1941,Platinum,2023-01-13
674869,Asian,6/6/1991,Platinum,2023-01-13
580145,Asian,11/14/2015,Basic,2023-01-13
306487,Black,6/26/1970,Basic,2023-01-14
483606,Other,7/3/1941,Platinum,2023-01-14
276875,Black,8/27/1989,Gold,2023-01-14
176024,Other,12/26/1999,Gold,2023-01-14
201696,Asian,2/5/1996,Gold,2023-01-14
119237,Other,9/18/2012,Platinum,2023-01-15
933040,Asian,12/12/1991,Gold,2023-01-16
568991,White,4/27/1979,Gold,2023-01-16
888532,White,1/11/2013,Gold,2023-01-17
596604,Asian,4/29/2000,Gold,2023-01-17
596558,Black,3/22/1951,Gold,2023-01-17
611859,Other,12/2/1977,Platinum,2023-01-18
369221,Black,3/4/2019,Platinum,2023-01-18
139746,Black,2/27/1948,Gold,2023-01-19
472457,Black,1/30/1991,Gold,2023-01-19
742071,White,9/22/1968,Platinum,2023-01-19
673141,White,12/30/1955,Gold,2023-01-19
813344,White,11/4/1966,Gold,2023-01-20
733667,Black,11/15/1944,Platinum,2023-01-20
189787,Black,5/12/1986,Basic,2023-01-20
850402,Other,9/17/1991,Gold,2023-01-23
548577,White,5/9/1962,Basic,2023-01-23
102704,Black,3/9/2000,Basic,2023-01-23
591154,Black,12/1/2002,Basic,2023-01-23
785116,White,11/25/1957,Gold,2023-01-24
943375,Other,7/26/1958,Platinum,2023-01-24
467914,Asian,2/25/1990,Gold,2023-01-25
960368,Asian,9/5/1997,Platinum,2023-01-26
714800,Asian,6/25/1974,Basic,2023-01-26
554004,Asian,7/20/1997,Gold,2023-01-27
691378,Other,12/7/1979,Basic,2023-01-27
626975,Black,10/4/1948,Basic,2023-01-27
772826,White,8/29/1978,Basic,2023-01-28
806804,Other,10/5/1948,Basic,2023-01-28
957631,Black,6/19/1956,Basic,2023-01-29
806648,Other,8/20/1986,Platinum,2023-01-29
612794,Asian,11/12/1981,Basic,2023-01-29
784685,White,6/17/1968,Platinum,2023-01-29
711747,White,9/28/1940,Gold,2023-01-30
801438,Asian,6/20/1950,Basic,2023-01-31
777515,White,4/3/1989,Basic,2023-01-31
721471,Other,8/17/1985,Platinum,2023-01-31
527712,White,9/27/1996,Platinum,2023-02-01
761244,White,12/26/1942,Platinum,2023-02-01
845293,Black,5/28/1946,Platinum,2023-02-01
871764,White,10/29/1967,Gold,2023-02-01
471554,White,4/22/1990,Basic,2023-02-01
431391,Other,4/25/1980,Basic,2023-02-02
866947,Other,4/11/1949,Gold,2023-02-02
371550,Black,8/20/2004,Basic,2023-02-02
844387,Asian,1/17/1950,Basic,2023-02-02
150648,Black,6/4/1950,Basic,2023-02-02
742364,Black,9/9/1978,Gold,2023-02-02
429752,Asian,11/15/1945,Platinum,2023-02-03
856901,Other,10/21/1941,Basic,2023-02-04
656164,Asian,7/22/1956,Basic,2023-02-04
549509,White,4/13/1970,Gold,2023-02-04
285940,Black,6/3/2017,Platinum,2023-02-04
520059,Asian,1/26/1942,Gold,2023-02-05
490418,White,9/29/1950,Basic,2023-02-05
366023,Asian,1/1/1986,Basic,2023-02-05
209144,Black,11/22/1948,Basic,2023-02-05
738405,Asian,10/12/1952,Basic,2023-02-05
467421,Asian,4/12/1975,Basic,2023-02-06
116248,White,2/4/2004,Basic,2023-02-07
111490,Black,3/1/1946,Basic,2023-02-07
211683,Other,9/4/2005,Basic,2023-02-07
660049,Asian,11/21/1984,Basic,2023-02-08
222493,Asian,12/6/1941,Platinum,2023-02-08
604078,Asian,9/18/1997,Basic,2023-02-08
107924,Black,9/2/1975,Gold,2023-02-08
986393,Black,12/14/2003,Basic,2023-02-09
827538,White,12/21/1982,Gold,2023-02-09
428406,Asian,8/8/1972,Basic,2023-02-09
889441,Asian,9/23/2000,Basic,2023-02-09
940125,Black,9/22/1949,Gold,2023-02-10
801415,Asian,7/7/2010,Gold,2023-02-12
461508,Other,7/12/1996,Gold,2023-02-12
237507,Black,4/6/1944,Basic,2023-02-12
174699,Asian,3/13/1989,Gold,2023-02-12
290840,Asian,8/3/2001,Gold,2023-02-14
938610,Other,11/18/2006,Platinum,2023-02-14
737345,Other,1/27/1971,Gold,2023-02-14
667559,Other,5/16/1985,Basic,2023-02-14
645286,Other,5/7/2006,Basic,2023-02-15
993967,Asian,2/23/1951,Platinum,2023-02-15
913984,White,9/6/2008,Platinum,2023-02-15
583851,Other,2/26/2006,Gold,2023-02-16
307769,White,7/26/1981,Gold,2023-02-16
440691,White,7/2/2013,Basic,2023-02-16
905817,Other,4/24/1969,Gold,2023-02-17
995456,Other,3/5/1975,Basic,2023-02-17
533119,White,1/25/1960,Platinum,2023-02-17
712911,Other,6/5/1943,Gold,2023-02-18
624601,Other,4/20/1991,Gold,2023-02-18
303669,Black,1/3/2016,Basic,2023-02-18
535172,Asian,12/23/1964,Basic,2023-02-18
978249,Asian,7/9/1944,Platinum,2023-02-20
582245,Other,2/17/2012,Platinum,2023-02-20
473692,White,3/23/2012,Basic,2023-02-20
236432,White,10/13/1957,Basic,2023-02-20
448076,White,10/7/1995,Platinum,2023-02-20
698182,Asian,12/28/1960,Gold,2023-02-20
247253,Asian,9/26/1987,Gold,2023-02-21
523380,Asian,12/23/1994,Platinum,2023-02-21
418614,White,11/17/2013,Gold,2023-02-22
528281,Black,12/22/2009,Basic,2023-02-22
771442,White,5/7/1974,Basic,2023-02-22
149442,Other,6/10/1952,Gold,2023-02-23
863998,Asian,11/23/2006,Platinum,2023-02-24
203783,Black,7/10/1975,Platinum,2023-02-24
263796,White,2/10/1952,Gold,2023-02-24
200988,Asian,10/8/1969,Platinum,2023-02-24
978930,Asian,3/27/2016,Basic,2023-02-25
804513,Asian,5/12/1974,Gold,2023-02-25
662810,Asian,12/11/1994,Gold,2023-02-25
426503,Other,9/3/2009,Platinum,2023-02-26
188081,Other,5/29/1969,Basic,2023-02-26
128220,Other,3/22/1947,Basic,2023-02-27
313159,White,9/23/2008,Platinum,2023-02-27
900910,White,9/21/1967,Gold,2023-02-27
336949,White,12/20/1976,Platinum,2023-02-27
322646,Asian,2/24/1956,Basic,2023-02-27
430823,White,11/22/1986,Gold,2023-02-27
478020,Black,5/16/1987,Gold,2023-02-27
898177,Asian,10/13/1975,Platinum,2023-02-28
399130,Asian,7/4/1958,Basic,2023-02-28
