Reporting Day,Reporting Month,Reporting Date,UK_New Customers,ROI_Reporting Month,ROI_New Customers,Misalignment flag
3,1,2022-01-03,21,,0.0,Flag
4,1,2022-01-04,3,2022-01-01,12.0,
5,1,2022-01-05,8,2022-01-01,5.0,
6,1,2022-01-06,9,2022-01-01,6.0,
7,1,2022-01-07,6,2022-01-01,4.0,
10,1,2022-01-10,11,2022-01-01,6.0,
11,1,2022-01-11,3,2022-01-01,1.0,
12,1,2022-01-12,6,2022-01-01,4.0,
13,1,2022-01-13,4,2022-01-01,2.0,
14,1,2022-01-14,7,2022-01-01,4.0,
17,1,2022-01-17,22,2022-01-01,15.0,
18,1,2022-01-18,4,2022-01-01,2.0,
19,1,2022-01-19,7,2022-01-01,4.0,
20,1,2022-01-20,9,2022-01-01,6.0,
21,1,2022-01-21,3,2022-01-01,2.0,
24,1,2022-01-24,13,2022-01-01,7.0,
25,1,2022-01-25,4,2022-01-01,2.0,
26,1,2022-01-26,1,2022-01-01,0.0,
27,1,2022-01-27,4,2022-01-01,2.0,
28,1,2022-01-28,8,2022-01-01,5.0,
1,2,2022-02-01,19,2022-02-01,3.0,
2,2,2022-02-02,3,2022-02-01,1.0,
3,2,2022-02-03,7,2022-02-01,5.0,
4,2,2022-02-04,6,2022-02-01,4.0,
7,2,2022-02-07,15,2022-02-01,9.0,
8,2,2022-02-08,4,2022-02-01,2.0,
9,2,2022-02-09,7,2022-02-01,5.0,
10,2,2022-02-10,6,2022-02-01,3.0,
11,2,2022-02-11,7,2022-02-01,4.0,
14,2,2022-02-14,17,2022-02-01,10.0,
15,2,2022-02-15,1,2022-02-01,0.0,
16,2,2022-02-16,5,2022-02-01,3.0,
17,2,2022-02-17,6,2022-02-01,4.0,
18,2,2022-02-18,6,2022-02-01,4.0,
21,2,2022-02-21,16,2022-02-01,11.0,
22,2,2022-02-22,3,2022-02-01,2.0,
23,2,2022-02-23,2,2022-02-01,1.0,
24,2,2022-02-24,2,2022-02-01,1.0,
25,2,2022-02-25,4,2022-02-01,2.0,
1,3,2022-03-01,23,2022-03-01,5.0,
2,3,2022-03-02,4,2022-03-01,2.0,
3,3,2022-03-03,5,2022-03-01,3.0,
4,3,2022-03-04,4,2022-03-01,2.0,
7,3,2022-03-07,14,2022-03-01,9.0,
8,3,2022-03-08,7,2022-03-01,4.0,
9,3,2022-03-09,2,2022-03-01,1.0,
10,3,2022-03-10,8,2022-03-01,5.0,
11,3,2022-03-11,4,2022-03-01,2.0,
14,3,2022-03-14,15,2022-03-01,9.0,
15,3,2022-03-15,5,2022-03-01,3.0,
16,3,2022-03-16,8,2022-03-01,5.0,
17,3,2022-03-17,7,,0.0,Flag
18,3,2022-03-18,4,,0.0,Flag
21,3,2022-03-21,20,2022-03-01,20.0,
22,3,2022-03-22,6,2022-03-01,4.0,
23,3,2022-03-23,4,2022-03-01,2.0,
24,3,2022-03-24,4,2022-03-01,2.0,
25,3,2022-03-25,6,2022-03-01,4.0,
